,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
48,🦄Набор для создания браслетов для девочек Бижутерия детская,84442642,75,4485,1121,Nraviza,210341,1322,5,https://www.wildberries.ru/catalog/84442642/detail.aspx?targetUrl=BP
49,Набор для создания украшений и браслетов,120654862,65,3111,1088,LUZZI,3518,357,5,https://www.wildberries.ru/catalog/120654862/detail.aspx?targetUrl=BP
50,Шарф женский зимний осенний шерстяной,120714916,64,5247,1888,BEREG,126502,287,5,https://www.wildberries.ru/catalog/120714916/detail.aspx?targetUrl=BP
51,Перчатки непромокаемые детские зимние,117933402,83,8400,1428,Imojo,1957,250,5,https://www.wildberries.ru/catalog/117933402/detail.aspx?targetUrl=BP
52,Шарф Гари Потер шарф детский зимний,139401095,45,1164,640,Siberia24,236513,335,5,https://www.wildberries.ru/catalog/139401095/detail.aspx?targetUrl=BP
53,Набор для создания браслетов детская бижутерия бисер,115731689,72,3218,901,lunoo,41568,112,5,https://www.wildberries.ru/catalog/115731689/detail.aspx?targetUrl=BP
54,Набор для создания браслетов украшений подарок девочке,133665746,53,2600,1222,MillotA,775999,32,5,https://www.wildberries.ru/catalog/133665746/detail.aspx?targetUrl=BP
55,Набор для создания браслетов Бижутерия Подарок для девочки,38168411,68,3422,1095,kiddiboom,210263,3082,5,https://www.wildberries.ru/catalog/38168411/detail.aspx?targetUrl=BP
56,"Палантин, шарф в клетку, теплый, стильный подарок ""Валенсия""",130289665,62,1990,756,Платочная мануфактура Россия,44386,5470,5,https://www.wildberries.ru/catalog/130289665/detail.aspx?targetUrl=BP
57,Браслеты мужские женские с гравировкой,30459740,73,2500,675,Storeroom,174474,217,5,https://www.wildberries.ru/catalog/30459740/detail.aspx?targetUrl=BP
58,30 красных пионерских галстуков,133672536,0,2900,2900,Tigeria,736682,26,5,https://www.wildberries.ru/catalog/133672536/detail.aspx?targetUrl=BP
59,Варежки детские зимние непромокаемые,45111605,85,8900,1335,Maxval,1562,351,5,https://www.wildberries.ru/catalog/45111605/detail.aspx?targetUrl=BP
60,Набор для создания браслетов украшений бижутерия в подарок,130665220,89,10000,1100,Браслеты,88169,30,5,https://www.wildberries.ru/catalog/130665220/detail.aspx?targetUrl=BP
61,Набор для творчества создания украшений браслетов и ожерелий,141400475,33,9000,6030,Magic Kitty,310492056,2,5,https://www.wildberries.ru/catalog/141400475/detail.aspx?targetUrl=BP
62,Варежки детские зимние непромокаемые,45111606,85,8900,1335,Maxval,1562,351,5,https://www.wildberries.ru/catalog/45111606/detail.aspx?targetUrl=BP
63,Набор для творчества создания украшений браслетов и ожерелий,141400472,35,9000,5850,Magic Kitty,310492056,2,5,https://www.wildberries.ru/catalog/141400472/detail.aspx?targetUrl=BP
64,Шарф детский зимний теплый Гриффиндор в полоску зима,139012755,70,3200,960,В Хогсмиде,1150899,96,5,https://www.wildberries.ru/catalog/139012755/detail.aspx?targetUrl=BP
65,Шарф женский зимний большой вязаный теплый длинный модный,139310804,72,5200,1456,STUFFOX,1147987,17,5,https://www.wildberries.ru/catalog/139310804/detail.aspx?targetUrl=BP
66,"Палантин, шарф в клетку, теплый, стильный подарок ""Валенсия""",130289664,60,1989,795,Платочная мануфактура Россия,44386,5470,5,https://www.wildberries.ru/catalog/130289664/detail.aspx?targetUrl=BP
67,Шарф женский зимний осенний шерстяной,120714918,64,5247,1888,BEREG,126502,287,5,https://www.wildberries.ru/catalog/120714918/detail.aspx?targetUrl=BP
68,Набор для создания украшений для девочки,91061347,56,2000,880,Персей,39462,143,5,https://www.wildberries.ru/catalog/91061347/detail.aspx?targetUrl=BP
69,"Перчатки непромокаемые подростковые, краги детские зимние",16015685,85,8400,1260,Imojo,1957,518,5,https://www.wildberries.ru/catalog/16015685/detail.aspx?targetUrl=BP
70,Перчатки непромокаемые детские,47720300,63,3200,1184,Зимовичок,49514,129,5,https://www.wildberries.ru/catalog/47720300/detail.aspx?targetUrl=BP
71,Набор для создания браслетов шарм,44674588,70,2480,744,lunoo,41568,94,5,https://www.wildberries.ru/catalog/44674588/detail.aspx?targetUrl=BP
72,"Палантин, шарф в клетку, теплый, стильный подарок ""Валенсия""",16020889,55,1990,895,Платочная мануфактура Россия,44386,5470,5,https://www.wildberries.ru/catalog/16020889/detail.aspx?targetUrl=BP
73,"Палантин, шарф в клетку, теплый, стильный подарок ""Валенсия""",42541150,63,1990,736,Платочная мануфактура Россия,44386,5470,5,https://www.wildberries.ru/catalog/42541150/detail.aspx?targetUrl=BP
74,"Палантин, шарф теплый, яркий, красивый подарок ""Живопись""",15135493,52,2360,1132,Платочная мануфактура Россия,44386,1572,5,https://www.wildberries.ru/catalog/15135493/detail.aspx?targetUrl=BP
75,Набор для создания браслетов бижутерия для девочки в подарок,49274373,72,4600,1288,MYSTYLYKIDS,549071,486,5,https://www.wildberries.ru/catalog/49274373/detail.aspx?targetUrl=BP
