,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
145,Шлепанцы,141397392,0,2392,2392,Tommy Hilfiger,1876,3,4,https://www.wildberries.ru/catalog/141397392/detail.aspx?targetUrl=BP
146,Кеды,11954526,69,14990,4646,Strellson,4289,8,4,https://www.wildberries.ru/catalog/11954526/detail.aspx?targetUrl=BP
147,Шлепанцы,12353701,75,7490,1872,L.A. WATER,72400,3,5,https://www.wildberries.ru/catalog/12353701/detail.aspx?targetUrl=BP
148,Шлепанцы,137849668,0,4591,4591,Tommy Hilfiger,1876,4,5,https://www.wildberries.ru/catalog/137849668/detail.aspx?targetUrl=BP
149,Кроссовки,8474816,61,13980,5452,Lacoste,524,44,4,https://www.wildberries.ru/catalog/8474816/detail.aspx?targetUrl=BP
150,Кроссовки CARNABY EVO DUO 120 1 SFA,12492360,61,10980,4282,Lacoste,524,41,4,https://www.wildberries.ru/catalog/12492360/detail.aspx?targetUrl=BP
151,Кеды SIDELINE 120 1 CUC,11934613,61,5480,2137,Lacoste,524,48,5,https://www.wildberries.ru/catalog/11934613/detail.aspx?targetUrl=BP
152,Сандалии,32777655,55,11590,5215,Replay,3513,5,3,https://www.wildberries.ru/catalog/32777655/detail.aspx?targetUrl=BP
153,Угги Classic Mini Spill Seam BLVD,9233738,70,18500,5550,UGG,14599,51,4,https://www.wildberries.ru/catalog/9233738/detail.aspx?targetUrl=BP
154,Туфли,69076599,59,12200,5002,Jonak,42968,7,3,https://www.wildberries.ru/catalog/69076599/detail.aspx?targetUrl=BP
155,Сандалии,70435570,67,10900,3597,UGG,14599,0,0,https://www.wildberries.ru/catalog/70435570/detail.aspx?targetUrl=BP
156,Ботинки с натуральным мехом,102342198,61,14290,5573,JUST COUTURE,2301,3,4,https://www.wildberries.ru/catalog/102342198/detail.aspx?targetUrl=BP
157,Ботинки зимние из натурального нубука кожи угги,138723907,67,17600,5808,UGG Australia,3287,7,3,https://www.wildberries.ru/catalog/138723907/detail.aspx?targetUrl=BP
158,Ботинки,16392850,67,12990,4286,CAFeNOIR,4367,15,5,https://www.wildberries.ru/catalog/16392850/detail.aspx?targetUrl=BP
159,Слипоны GRIPSHOT PLIMSOL 1201CFA,12298122,61,9980,3892,Lacoste,524,19,4,https://www.wildberries.ru/catalog/12298122/detail.aspx?targetUrl=BP
160,Кроссовки,33481449,54,13990,6435,Tommy Hilfiger,1876,49,3,https://www.wildberries.ru/catalog/33481449/detail.aspx?targetUrl=BP
161,Ботинки зимние на массивной подошве,101848415,61,14990,5846,JUST COUTURE,2301,8,4,https://www.wildberries.ru/catalog/101848415/detail.aspx?targetUrl=BP
162,Сандалии,19566265,54,13990,6435,Calvin Klein,154,24,4,https://www.wildberries.ru/catalog/19566265/detail.aspx?targetUrl=BP
163,Кеды GRIPSHOT SLIP ON 2202CMA,12298140,61,9480,3697,Lacoste,524,13,4,https://www.wildberries.ru/catalog/12298140/detail.aspx?targetUrl=BP
164,Кеды,20977911,50,11480,5740,Lacoste,524,9,3,https://www.wildberries.ru/catalog/20977911/detail.aspx?targetUrl=BP
165,Кеды,101037770,70,15000,4500,Alexander McQueen,9419,19,3,https://www.wildberries.ru/catalog/101037770/detail.aspx?targetUrl=BP
166,Кроссовки,12163367,81,19290,3665,L4K3,61941,2,4,https://www.wildberries.ru/catalog/12163367/detail.aspx?targetUrl=BP
167,Кроссовки,97728632,39,10289,6276,Calvin Klein,154,2,3,https://www.wildberries.ru/catalog/97728632/detail.aspx?targetUrl=BP
168,Кеды SIDELINE 120 2 CUC,12491050,61,5980,2332,Lacoste,524,21,4,https://www.wildberries.ru/catalog/12491050/detail.aspx?targetUrl=BP
169,Кроссовки,12163348,81,17590,3342,L4K3,61941,1,3,https://www.wildberries.ru/catalog/12163348/detail.aspx?targetUrl=BP
170,Кроссовки LT FIT-FLEX 120 2 SFA,11129916,71,12480,3619,Lacoste,524,18,5,https://www.wildberries.ru/catalog/11129916/detail.aspx?targetUrl=BP
171,Ботинки на массивной подошве,102456394,62,13790,5240,JUST COUTURE,2301,1,2,https://www.wildberries.ru/catalog/102456394/detail.aspx?targetUrl=BP
172,Кеды LEROND BL 2 CUC,11625974,61,5980,2332,Lacoste,524,51,5,https://www.wildberries.ru/catalog/11625974/detail.aspx?targetUrl=BP
173,Кроссовки,18800713,72,10490,2937,bugatti,149,16,4,https://www.wildberries.ru/catalog/18800713/detail.aspx?targetUrl=BP
174,Кеды,11954527,69,14990,4646,Strellson,4289,7,4,https://www.wildberries.ru/catalog/11954527/detail.aspx?targetUrl=BP
175,Кроссовки,17631235,65,16190,5666,Colmar,4407,5,4,https://www.wildberries.ru/catalog/17631235/detail.aspx?targetUrl=BP
176,Кеды STRAIGHTSET 120 3 CUC,12387954,61,6980,2722,Lacoste,524,2,3,https://www.wildberries.ru/catalog/12387954/detail.aspx?targetUrl=BP
177,Полусапожки,17184199,70,16490,4947,Liu Jo Junior,66479,7,4,https://www.wildberries.ru/catalog/17184199/detail.aspx?targetUrl=BP
